Indicator;Country;Description;Unit;Base Year;2015;2016;2017;2018;2019;2020;2021;2022
Tabel 2. GDP by Industry at Constant Prices;;[B1g]  - Equals: GROSS VALUE ADDED;billion Dollar (S $);in chained, 2015;399.02.00;411.01.00;429.03.00;446.00.00;451.06.00;437.00.00;475.01.00;494.09.00
Tabel 2. GDP by Industry at Constant Prices;;[D21D]  - Plus: Taxes less Subsidies on products;billion Dollar (S $);in chained, 2015;24.03.00;27.06.00;29.03.00;28.09.00;29.08.00;24.09.00;27.09.00;26.04.00
Tabel 2. GDP by Industry at Constant Prices;;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Dollar (S $);in chained, 2015;423.04.00;438.07.00;458.06.00;475.00.00;481.04.00;462.06.00;503.07.00;522.00.00
Tabel 2. GDP by Industry at Constant Prices;Thailand;[A]  - Agriculture, forestry and fishing;billion Baht;in chained, 2002;615.09.00;608.08.00;638.01.00;677.00.00;670.04.00;648.00.00;662.06.00;678.06.00
Tabel 2. GDP by Industry at Constant Prices;;[B]  - Mining and quarrying;billion Baht;in chained, 2002;244.06.00;246.06.00;231.09.00;225.01.00;228.09.00;208.00.00;197.01.00;167.07.00
Tabel 2. GDP by Industry at Constant Prices;;[C]  - Manufacturing;billion Baht;in chained, 2002;2 670.3;2 730.6;2 809.9;2 907.2;2 882.6;2 728.8;2 856.9;2 867.8
Tabel 2. GDP by Industry at Constant Prices;;[D-E]  - Electricity and water supply;billion Baht;in chained, 2002;321.04.00;332.08.00;341.00.00;350.05.00;367.02.00;342.07.00;346.00.00;353.08.00
Tabel 2. GDP by Industry at Constant Prices;;[F]  - Construction;billion Baht;in chained, 2002;268.05.00;289.09.00;281.03.00;287.07.00;292.02.00;296.00.00;302.06.00;294.03.00
Tabel 2. GDP by Industry at Constant Prices;;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Baht;in chained, 2002;1 340.7;1 423.3;1 514.5;1 610.9;1 682.0;1 629.0;1 656.0;1 707.2
Tabel 2. GDP by Industry at Constant Prices;;[H]  - Transportation and storage;billion Baht;in chained, 2002;607.07.00;639.09.00;691.04.00;718.00.00;737.04.00;569.09.00;553.08.00;593.03.00
Tabel 2. GDP by Industry at Constant Prices;;[I]  - Accommodation and food service activities;billion Baht;in chained, 2002;496.01.00;542.01.00;600.07.00;648.06.00;697.09.00;440.03.00;374.02.00;521.04.00
Tabel 2. GDP by Industry at Constant Prices;;[J]  - Information and communication;billion Baht;in chained, 2002;468.01.00;479.04.00;498.00.00;541.07.00;603.07.00;613.07.00;647.03.00;680.02.00
Tabel 2. GDP by Industry at Constant Prices;;[K]  - Financial and insurance activities;billion Baht;in chained, 2002;652.05.00;698.04.00;744.09.00;772.05.00;786.05.00;827.09.00;873.03.00;881.08.00
Tabel 2. GDP by Industry at Constant Prices;;[L-N]  - Real estate, Renting and Business Activities;billion Baht;in chained, 2002;712.09.00;735.04.00;777.03.00;810.07.00;834.04.00;788.08.00;777.09.00;794.01.00
Tabel 2. GDP by Industry at Constant Prices;;[O-U]  - Public administration and Other Services Activities;billion Baht;in chained, 2002;1 258.3;1 282.3;1 309.5;1 344.7;1 380.5;1 374.1;1 377.6;1 420.0
Tabel 2. GDP by Industry at Constant Prices;;[B1g]  - Equals: GROSS VALUE ADDED;billion Baht;in chained, 2002;9 521.4;9 848.5;10 259.9;10 693.2;10 919.3;10 256.9;10 409.9;10 680.3
Tabel 2. GDP by Industry at Constant Prices;;[D21D]  - Plus: Taxes less Subsidies on products;billion Baht;in chained, 2002;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 2. GDP by Industry at Constant Prices;;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Baht;in chained, 2002;9 521.4;9 848.5;10 259.9;10 693.2;10 919.3;10 256.9;10 409.9;10 680.3
Tabel 2. GDP by Industry at Constant Prices;Viet Nam;[A]  - Agriculture, forestry and fishing;billion Dong;2010;489 989.0;498 092.3;513 873.8;535 022.0;549 291.6;565 986.8;584 485.9;604 112.2
Tabel 2. GDP by Industry at Constant Prices;;[B]  - Mining and quarrying;billion Dong;2010;211 057.3;195 201.5;178 822.0;174 241.0;172 939.0;161 403.9;148 853.6;156 571.7
Tabel 2. GDP by Industry at Constant Prices;;[C]  - Manufacturing;billion Dong;2010;709 280.7;788 296.1;883 885.2;985 358.5;1 079 902.0;1 133 812.2;1 202 445.6;1 299 865.9
Tabel 2. GDP by Industry at Constant Prices;;[D-E]  - Electricity and water supply;billion Dong;2010;126 555.7;140 485.9;153 377.5;165 851.2;180 462.0;192 148.6;202 491.7;216 886.8
Tabel 2. GDP by Industry at Constant Prices;;[F]  - Construction;billion Dong;2010;222 440.8;244 684.9;265 972.5;289 820.1;314 571.4;337 050.0;335 901.3;363 330.1
Tabel 2. GDP by Industry at Constant Prices;;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Dong;2010;302 026.2;326 127.9;352 413.9;381 684.6;419 205.8;443 630.1;445 852.6;491 127.7
Tabel 2. GDP by Industry at Constant Prices;;[H]  - Transportation and storage;billion Dong;2010;192 249.0;211 222.0;227 811.0;248 679.8;273 068.8;275 967.9;267 373.7;299 264.9
Tabel 2. GDP by Industry at Constant Prices;;[I]  - Accommodation and food service activities;billion Dong;2010;105 731.0;112 383.3;122 385.4;131 241.0;142 999.6;112 769.7;89 979.0;126 523.9
Tabel 2. GDP by Industry at Constant Prices;;[J]  - Information and communication;billion Dong;2010;195 621.4;212 679.6;227 630.9;245 560.1;266 045.4;283 316.5;297 704.4;320 934.6
Tabel 2. GDP by Industry at Constant Prices;;[K]  - Financial and insurance activities;billion Dong;2010;169 612.5;182 951.8;197 476.0;213 692.9;232 840.5;250 243.3;274 006.5;298 741.1
Tabel 2. GDP by Industry at Constant Prices;;[L-N]  - Real estate, Renting and Business Activities;billion Dong;2010;313 670.5;331 098.0;349 598.3;371 216.8;393 294.1;389 226.7;385 528.9;423 306.5
Tabel 2. GDP by Industry at Constant Prices;;[O-U]  - Public administration and Other Services Activities;billion Dong;2010;294 727.9;314 642.9;334 208.5;354 551.9;376 500.6;390 997.2;419 363.8;437 620.8
Tabel 2. GDP by Industry at Constant Prices;;[B1g]  - Equals: GROSS VALUE ADDED;billion Dong;2010;3 332 962.2;3 557 866.1;3 807 454.9;4 096 919.8;4 401 120.7;4 536 552.9;4 653 987.1;5 038 286.3
Tabel 2. GDP by Industry at Constant Prices;;[D21D]  - Plus: Taxes less Subsidies on products;billion Dong;2010;363 863.5;386 277.5;410 419.9;435 819.6;465 194.9;469 290.7;480 084.3;507 429.6
Tabel 2. GDP by Industry at Constant Prices;;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Dong;2010;3 696 825.7;3 944 143.7;4 217 874.8;4 532 739.4;4 866 315.6;5 005 843.6;5 134 071.4;5 545 715.9
Tabel 3. Structure of GDP by Industry (%);Brunei Darussalam;[A]  - Agriculture, forestry and fishing;percent;-;01.01;01.02;01.01;01.00;01.00;01.02;01.03;01.01
Tabel 3. Structure of GDP by Industry (%);;[B]  - Mining and quarrying;percent;-;43.05.00;42.03.00;43.06.00;45.07.00;45.04.00;39.03.00;40.07.00;43.00.00
Tabel 3. Structure of GDP by Industry (%);;[C]  - Manufacturing;percent;-;14.05;11.05;12.07;14.01;13.06;15.08;18.05;22.01
Tabel 3. Structure of GDP by Industry (%);;[D-E]  - Electricity and water supply;percent;-;00.08;01.00;01.00;01.00;01.00;01.01;01.00;00.08
Tabel 3. Structure of GDP by Industry (%);;[F]  - Construction;percent;-;02.05;02.05;02.05;02.05;02.05;02.09;02.04;01.09
Tabel 3. Structure of GDP by Industry (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;-;05.01;05.05;05.02;04.09;05.01;06.00;05.07;05.00
Tabel 3. Structure of GDP by Industry (%);;[H]  - Transportation and storage;percent;-;01.08;01.08;01.07;01.06;01.07;01.07;01.04;01.03
Tabel 3. Structure of GDP by Industry (%);;[I]  - Accommodation and food service activities;percent;-;01.00;01.01;01.01;01.00;01.01;01.02;01.01;01.00
Tabel 3. Structure of GDP by Industry (%);;[J]  - Information and communication;percent;-;02.01;02.03;02.02;02.00;02.00;02.06;02.04;02.00
Tabel 3. Structure of GDP by Industry (%);;[K]  - Financial and insurance activities;percent;-;05.02;06.04;06.01;05.01;05.04;05.06;05.00;04.03
Tabel 3. Structure of GDP by Industry (%);;[L-N]  - Real estate, Renting and Business Activities;percent;-;06.04;06.04;06.00;05.06;05.03;05.08;05.02;04.04
Tabel 3. Structure of GDP by Industry (%);;[O-U]  - Public administration and Other Services Activities;percent;-;17.09;19.05;18.05;17.02;17.06;18.07;16.09;14.04
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;-;101.09.00;101.05.00;101.07.00;101.06.00;101.07.00;101.08.00;101.06.00;101.05.00
Tabel 3. Structure of GDP by Industry (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;-;-1.9;-1.5;-1.7;-1.6;-1.7;-1.8;-1.6;-1.5
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);Cambodia;[A]  - Agriculture, forestry and fishing;percent;-;26.06.00;24.07.00;23.06;22.00;20.07;22.07;22.08;22.02
Tabel 3. Structure of GDP by Industry (%);;[B]  - Mining and quarrying;percent;-;01.03;01.05;01.07;01.08;02.01;02.06;03.02;03.07
Tabel 3. Structure of GDP by Industry (%);;[C]  - Manufacturing;percent;-;16.00;16.00;16.03;16.03;16.03;16.02;17.09;18.08
Tabel 3. Structure of GDP by Industry (%);;[D-E]  - Electricity and water supply;percent;-;00.05;00.06;00.06;00.06;00.06;00.06;00.05;00.05
Tabel 3. Structure of GDP by Industry (%);;[F]  - Construction;percent;-;09.08;11.04;12.06;13.06;15.03;15.02;15.02;14.09
Tabel 3. Structure of GDP by Industry (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;-;09.05;09.05;09.06;09.05;09.02;08.08;08.03;08.02
Tabel 3. Structure of GDP by Industry (%);;[H]  - Transportation and storage;percent;-;05.08;06.00;06.00;05.08;05.07;05.04;06.00;06.01
Tabel 3. Structure of GDP by Industry (%);;[I]  - Accommodation and food service activities;percent;-;04.09;04.07;04.06;04.04;04.04;02.08;01.05;01.07
Tabel 3. Structure of GDP by Industry (%);;[J]  - Information and communication;percent;-;02.02;02.02;01.02;02.01;02.01;02.03;02.06;02.06
Tabel 3. Structure of GDP by Industry (%);;[K]  - Financial and insurance activities;percent;-;01.09;01.09;02.00;02.00;02.00;02.01;02.01;02.01
Tabel 3. Structure of GDP by Industry (%);;[L-N]  - Real estate, Renting and Business Activities;percent;-;06.04;06.07;07.00;07.02;07.02;06.08;05.05;05.02
Tabel 3. Structure of GDP by Industry (%);;[O-U]  - Public administration and Other Services Activities;percent;-;09.02;08.09;08.08;08.05;08.03;08.04;08.02;07.09
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;-;94.01.00;94.01.00;93.09.00;93.08.00;93.08.00;93.09.00;93.09.00;94.00.00
Tabel 3. Structure of GDP by Industry (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;-;05.09;05.09;06.01;06.02;06.02;06.01;06.01;06.00
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);Indonesia;[A]  - Agriculture, forestry and fishing;percent;-;13.05;13.05;13.02;12.08;12.07;13.07;13.03;12.04
Tabel 3. Structure of GDP by Industry (%);;[B]  - Mining and quarrying;percent;-;07.06;07.02;07.06;08.01;07.03;06.04;09.00;12.02
Tabel 3. Structure of GDP by Industry (%);;[C]  - Manufacturing;percent;-;21.00;20.05;20.02;19.09;19.07;19.09;19.02;18.03
Tabel 3. Structure of GDP by Industry (%);;[D-E]  - Electricity and water supply;percent;-;01.02;01.02;01.03;01.03;01.02;01.02;01.02;01.01
Tabel 3. Structure of GDP by Industry (%);;[F]  - Construction;percent;-;10.02;10.04;10.04;10.05;10.07;10.07;10.04;09.08
Tabel 3. Structure of GDP by Industry (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;-;13.03;13.02;13.00;13.00;13.00;12.09;13.00;12.08
Tabel 3. Structure of GDP by Industry (%);;[H]  - Transportation and storage;percent;-;05.00;05.02;05.04;05.04;05.06;04.05;04.02;05.00
Tabel 3. Structure of GDP by Industry (%);;[I]  - Accommodation and food service activities;percent;-;03.00;02.09;02.08;02.08;02.08;02.06;02.04;02.04
Tabel 3. Structure of GDP by Industry (%);;[J]  - Information and communication;percent;-;03.05;03.06;03.08;03.08;04.00;04.05;04.04;04.01
Tabel 3. Structure of GDP by Industry (%);;[K]  - Financial and insurance activities;percent;-;04.00;04.02;04.02;04.02;04.02;04.05;04.03;04.01
Tabel 3. Structure of GDP by Industry (%);;[L-N]  - Real estate, Renting and Business Activities;percent;-;04.05;04.05;04.06;04.05;04.07;04.08;04.05;04.02
Tabel 3. Structure of GDP by Industry (%);;[O-U]  - Public administration and Other Services Activities;percent;-;10.00;10.00;09.08;09.08;10.00;10.06;09.09;09.00
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;-;96.08.00;96.04.00;96.01.00;95.09.00;95.09.00;96.04.00;95.09.00;95.06.00
Tabel 3. Structure of GDP by Industry (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;-;03.02;03.06;03.09;04.01;04.01;03.06;04.01;04.04
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);Lao PDR;[A]  - Agriculture, forestry and fishing;percent;-;17.06;17.02;16.02;15.07;16.01;16.05;16.00;17.08
Tabel 3. Structure of GDP by Industry (%);;[B]  - Mining and quarrying;percent;-;06.08;06.05;06.06;06.00;05.07;04.06;04.04;04.00
Tabel 3. Structure of GDP by Industry (%);;[C]  - Manufacturing;percent;-;08.02;07.08;07.05;07.05;07.06;08.04;08.04;09.01
Tabel 3. Structure of GDP by Industry (%);;[D-E]  - Electricity and water supply;percent;-;07.01;08.09;10.08;11.01;10.02;11.07;12.01;11.06
Tabel 3. Structure of GDP by Industry (%);;[F]  - Construction;percent;-;05.06;05.06;06.01;07.00;08.00;08.06;09.01;09.04
Tabel 3. Structure of GDP by Industry (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;-;12.01;11.05;11.06;12.03;12.00;12.00;11.04;11.05
Tabel 3. Structure of GDP by Industry (%);;[H]  - Transportation and storage;percent;-;01.04;01.04;01.03;01.03;01.03;01.03;01.02;01.05
Tabel 3. Structure of GDP by Industry (%);;[I]  - Accommodation and food service activities;percent;-;03.01;02.08;02.05;02.06;02.07;01.02;00.09;00.09
Tabel 3. Structure of GDP by Industry (%);;[J]  - Information and communication;percent;-;01.07;01.06;01.06;01.06;01.06;01.06;01.06;01.05
Tabel 3. Structure of GDP by Industry (%);;[K]  - Financial and insurance activities;percent;-;02.05;02.05;02.09;03.01;03.02;03.00;02.09;02.06
Tabel 3. Structure of GDP by Industry (%);;[L-N]  - Real estate, Renting and Business Activities;percent;-;07.06;07.02;06.09;06.09;07.00;06.09;06.06;06.05
Tabel 3. Structure of GDP by Industry (%);;[O-U]  - Public administration and Other Services Activities;percent;-;15.08;15.06;14.07;13.09;13.06;13.08;13.04;12.04
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;-;89.05.00;88.05.00;88.06.00;88.09.00;89.01.00;89.04.00;88.00.00;88.09.00
Tabel 3. Structure of GDP by Industry (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;-;10.05;11.05;11.04;11.01;10.09;10.06;12.00;11.01
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);Malaysia;[A]  - Agriculture, forestry and fishing;percent;-;08.03;08.05;08.06;07.05;07.02;08.02;09.06;08.09
Tabel 3. Structure of GDP by Industry (%);;[B]  - Mining and quarrying;percent;-;08.08;08.03;08.08;09.03;08.07;06.08;08.00;09.09
Tabel 3. Structure of GDP by Industry (%);;[C]  - Manufacturing;percent;-;22.03;21.08;21.08;21.05;21.04;22.02;23.04;23.04
Tabel 3. Structure of GDP by Industry (%);;[D-E]  - Electricity and water supply;percent;-;02.07;02.07;02.06;02.06;02.07;02.09;02.07;02.04
Tabel 3. Structure of GDP by Industry (%);;[F]  - Construction;percent;-;04.07;04.09;04.08;04.08;04.07;04.01;03.06;03.04
Tabel 3. Structure of GDP by Industry (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;-;15.06;15.09;15.09;16.04;16.08;17.00;16.01;16.06
Tabel 3. Structure of GDP by Industry (%);;[H]  - Transportation and storage;percent;-;03.06;03.06;03.06;03.06;03.08;03.02;03.00;03.05
Tabel 3. Structure of GDP by Industry (%);;[I]  - Accommodation and food service activities;percent;-;03.01;03.02;03.03;03.05;03.08;03.00;02.06;03.01
Tabel 3. Structure of GDP by Industry (%);;[J]  - Information and communication;percent;-;05.03;05.04;05.04;05.06;05.07;06.04;06.02;05.07
Tabel 3. Structure of GDP by Industry (%);;[K]  - Financial and insurance activities;percent;-;06.07;06.05;06.03;06.03;06.03;06.09;07.00;06.01
Tabel 3. Structure of GDP by Industry (%);;[L-N]  - Real estate, Renting and Business Activities;percent;-;04.04;04.05;04.05;04.06;04.09;04.05;03.07;04.00
Tabel 3. Structure of GDP by Industry (%);;[O-U]  - Public administration and Other Services Activities;percent;-;13.04;13.04;13.00;13.00;13.00;13.09;13.01;12.00
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;-;98.08.00;98.07.00;98.06.00;98.08.00;98.09.00;98.09.00;98.09.00;98.09.00
Tabel 3. Structure of GDP by Industry (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;-;01.02;01.03;01.04;01.02;01.01;01.01;01.01;01.01
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);Myanmar;[A]  - Agriculture, forestry and fishing;percent;-;27.08.00;26.07.00;24.09.00;23.00;21.04;20.09;22.07;22.06
Tabel 3. Structure of GDP by Industry (%);;[B]  - Mining and quarrying;percent;-;07.04;05.03;04.09;04.08;05.04;04.08;03.08;04.08
Tabel 3. Structure of GDP by Industry (%);;[C]  - Manufacturing;percent;-;19.09;21.03;23.00;24.02.00;24.08.00;25.05.00;25.06.00;25.04.00
Tabel 3. Structure of GDP by Industry (%);;[D-E]  - Electricity and water supply;percent;-;01.04;01.04;01.04;01.04;01.04;01.07;01.06;01.04
Tabel 3. Structure of GDP by Industry (%);;[F]  - Construction;percent;-;05.08;05.09;06.02;06.03;06.04;06.06;06.01;06.00
Tabel 3. Structure of GDP by Industry (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;-;18.07;19.01;19.07;20.02;20.06;21.00;21.03;20.09
Tabel 3. Structure of GDP by Industry (%);;[H]  - Transportation and storage;percent;-;11.05;11.05;11.02;11.02;11.02;10.07;09.09;10.00
Tabel 3. Structure of GDP by Industry (%);;[I]  - Accommodation and food service activities;percent;-;00.04;00.04;00.05;00.05;00.05;00.05;00.04;00.04
Tabel 3. Structure of GDP by Industry (%);;[J]  - Information and communication;percent;-;01.08;02.02;02.01;02.00;02.00;02.00;02.02;02.01
Tabel 3. Structure of GDP by Industry (%);;[K]  - Financial and insurance activities;percent;-;00.02;00.03;00.03;00.04;00.04;00.04;00.04;00.04
Tabel 3. Structure of GDP by Industry (%);;[L-N]  - Real estate, Renting and Business Activities;percent;-;00.08;00.09;00.08;00.08;00.07;00.07;00.07;00.06
Tabel 3. Structure of GDP by Industry (%);;[O-U]  - Public administration and Other Services Activities;percent;-;04.03;05.00;05.00;05.02;05.03;05.01;05.04;05.03
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;-;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);Philippines;[A]  - Agriculture, forestry and fishing;percent;-;11.00;10.02;10.02;09.07;08.08;10.02;10.01;09.05
Tabel 3. Structure of GDP by Industry (%);;[B]  - Mining and quarrying;percent;-;00.09;00.08;00.09;00.09;00.08;00.08;01.00;01.03
Tabel 3. Structure of GDP by Industry (%);;[C]  - Manufacturing;percent;-;19.09;19.06;19.05;19.01;18.05;17.07;17.06;17.02
Tabel 3. Structure of GDP by Industry (%);;[D-E]  - Electricity and water supply;percent;-;03.02;03.01;03.01;03.00;03.01;03.04;03.04;03.04
Tabel 3. Structure of GDP by Industry (%);;[F]  - Construction;percent;-;06.05;06.08;06.07;07.05;07.09;06.06;06.09;07.03
Tabel 3. Structure of GDP by Industry (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;-;17.04;17.06;17.07;17.07;18.00;18.05;18.00;18.01
Tabel 3. Structure of GDP by Industry (%);;[H]  - Transportation and storage;percent;-;03.08;03.08;03.08;03.08;03.09;03.01;03.01;03.07
Tabel 3. Structure of GDP by Industry (%);;[I]  - Accommodation and food service activities;percent;-;01.09;02.00;02.01;02.02;02.02;01.04;01.05;01.08
Tabel 3. Structure of GDP by Industry (%);;[J]  - Information and communication;percent;-;03.03;03.01;03.00;02.08;02.09;03.03;03.03;03.02
Tabel 3. Structure of GDP by Industry (%);;[K]  - Financial and insurance activities;percent;-;07.08;07.09;08.00;08.02;08.06;10.02;10.01;10.01
Tabel 3. Structure of GDP by Industry (%);;[L-N]  - Real estate, Renting and Business Activities;percent;-;12.07;13.01;13.02;12.09;12.07;12.04;12.02;11.08
Tabel 3. Structure of GDP by Industry (%);;[O-U]  - Public administration and Other Services Activities;percent;-;11.07;11.09;11.09;12.01;12.06;12.06;12.08;12.06
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;-;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);Singapore;[A]  - Agriculture, forestry and fishing;percent;-;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 3. Structure of GDP by Industry (%);;[B]  - Mining and quarrying;percent;-;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 3. Structure of GDP by Industry (%);;[C]  - Manufacturing;percent;-;19.02;18.06;19.08;21.09;20.04;20.07;22.00;21.06
Tabel 3. Structure of GDP by Industry (%);;[D-E]  - Electricity and water supply;percent;-;01.05;01.04;01.02;01.02;01.02;01.04;01.02;01.01
Tabel 3. Structure of GDP by Industry (%);;[F]  - Construction;percent;-;05.01;04.08;04.00;03.07;03.07;02.04;02.06;02.07
Tabel 3. Structure of GDP by Industry (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;-;16.04;17.09;18.05;18.05;18.07;19.04;20.00;19.09
Tabel 3. Structure of GDP by Industry (%);;[H]  - Transportation and storage;percent;-;07.05;06.07;07.01;06.04;06.05;06.03;09.00;10.04
Tabel 3. Structure of GDP by Industry (%);;[I]  - Accommodation and food service activities;percent;-;02.02;02.02;02.01;02.00;02.00;01.04;01.02;01.05
Tabel 3. Structure of GDP by Industry (%);;[J]  - Information and communication;percent;-;04.01;04.04;04.03;04.02;04.07;05.06;05.05;05.04
Tabel 3. Structure of GDP by Industry (%);;[K]  - Financial and insurance activities;percent;-;12.05;12.05;12.08;13.00;14.00;15.02;13.08;13.05
Tabel 3. Structure of GDP by Industry (%);;[L-N]  - Real estate, Renting and Business Activities;percent;-;20.02;20.01;18.09;18.01;17.07;17.00;14.09;14.05
Tabel 3. Structure of GDP by Industry (%);;[O-U]  - Public administration and Other Services Activities;percent;-;11.03;11.05;11.03;10.09;11.01;10.06;09.08;09.03
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS VALUE ADDED;percent;-;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00;100.00.00
Tabel 3. Structure of GDP by Industry (%);;[D21D]  - Plus: Taxes less Subsidies on products;percent;-;06.01;06.04;06.05;05.05;05.03;04.08;05.06;05.02
Tabel 3. Structure of GDP by Industry (%);;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);percent;-;106.01.00;106.04.00;106.05.00;105.05.00;105.03.00;104.08.00;105.06.00;105.02.00
Tabel 3. Structure of GDP by Industry (%);Thailand;[A]  - Agriculture, forestry and fishing;percent;-;08.09;08.05;08.04;08.02;08.01;08.07;08.07;08.08
Tabel 3. Structure of GDP by Industry (%);;[B]  - Mining and quarrying;percent;-;03.01;02.07;02.05;02.05;02.04;02.01;02.02;02.02
Tabel 3. Structure of GDP by Industry (%);;[C]  - Manufacturing;percent;-;27.04.00;27.01.00;27.00.00;26.07.00;25.06.00;25.06.00;27.02.00;27.00.00
Tabel 3. Structure of GDP by Industry (%);;[D-E]  - Electricity and water supply;percent;-;02.09;03.00;03.00;03.00;03.01;03.00;02.09;03.03
Tabel 3. Structure of GDP by Industry (%);;[F]  - Construction;percent;-;02.08;02.07;02.05;02.05;02.05;02.07;02.07;02.05
Tabel 3. Structure of GDP by Industry (%);;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";percent;-;14.03;15.00;15.04;15.08;16.02;16.09;16.03;15.05
Tabel 3. Structure of GDP by Industry (%);;[H]  - Transportation and storage;percent;-;05.07;05.09;05.09;05.08;05.08;04.08;04.06;04.06
Tabel 3. Structure of GDP by Industry (%);;[I]  - Accommodation and food service activities;percent;-;04.04;04.08;05.03;05.06;06.01;03.09;03.02;04.05
Tabel 3. Structure of GDP by Industry (%);;[J]  - Information and communication;percent;-;02.04;02.03;02.03;02.04;02.06;02.08;02.08;02.08
Tabel 3. Structure of GDP by Industry (%);;[K]  - Financial and insurance activities;percent;-;07.06;07.07;07.06;07.06;07.05;08.02;08.03;08.03
Tabel 3. Structure of GDP by Industry (%);;[L-N]  - Real estate, Renting and Business Activities;percent;-;06.00;05.08;05.08;05.08;05.08;05.08;05.06;05.05
