T09;Public expenditure on education (as of 2021);;;
398;Kazakhstan;2015;All staff compensation as % of total expenditure in public institutions (%);59.9
398;Kazakhstan;2015;Capital expenditure as % of total expenditure in public institutions (%);3.5
398;Kazakhstan;2015;Basic access to computers by level of education: Primary;59.0
398;Kazakhstan;2015;Public expenditure on education (% of GDP);2.8
398;Kazakhstan;2018;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.8
398;Kazakhstan;2018;All staff compensation as % of total expenditure in public institutions (%);68.7
398;Kazakhstan;2018;Capital expenditure as % of total expenditure in public institutions (%);4.5
398;Kazakhstan;2018;Public expenditure on education (% of GDP);2.6
398;Kazakhstan;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);25.0
398;Kazakhstan;2019;All staff compensation as % of total expenditure in public institutions (%);75.0
398;Kazakhstan;2019;Basic access to computers by level of education: Primary;70.1
398;Kazakhstan;2019;Public expenditure on education (% of GDP);2.9
398;Kazakhstan;2021;Public expenditure on education (% of GDP);4.5
404;Kenya;2005;Public expenditure on education (% of GDP);7.3
404;Kenya;2010;Public expenditure on education (% of GDP);4.8
404;Kenya;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);31.6
404;Kenya;2015;All staff compensation as % of total expenditure in public institutions (%);60.9
404;Kenya;2015;Capital expenditure as % of total expenditure in public institutions (%);7.5
404;Kenya;2015;Public expenditure on education (% of GDP);4.7
404;Kenya;2018;Public expenditure on education (% of GDP);5.1
296;Kiribati;2001;Public expenditure on education (% of GDP);12.0
296;Kiribati;2015;Public expenditure on education (% of GDP);12.1
296;Kiribati;2017;Public expenditure on education (% of GDP);13.6
296;Kiribati;2020;Basic access to computers by level of education: Primary;19.6
296;Kiribati;2020;Basic access to computers by level of education: Lower secondary;46
296;Kiribati;2020;Basic access to computers by level of education: Upper secondary;100
414;Kuwait;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);17.4
414;Kuwait;2005;All staff compensation as % of total expenditure in public institutions (%);74.9
414;Kuwait;2005;Capital expenditure as % of total expenditure in public institutions (%);7.7
414;Kuwait;2005;Public expenditure on education (% of GDP);4.7
414;Kuwait;2006;Public expenditure on education (% of GDP);3.8
414;Kuwait;2015;Basic access to computers by level of education: Primary;100.0
414;Kuwait;2021;Basic access to computers by level of education: Primary;100.0
414;Kuwait;2021;Basic access to computers by level of education: Lower secondary;100
414;Kuwait;2021;Basic access to computers by level of education: Upper secondary;100
417;Kyrgyzstan;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);28.4
417;Kyrgyzstan;2005;All staff compensation as % of total expenditure in public institutions (%);66.2
417;Kyrgyzstan;2005;Capital expenditure as % of total expenditure in public institutions (%);5.4
417;Kyrgyzstan;2005;Public expenditure on education (% of GDP);4.9
417;Kyrgyzstan;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);29.1
417;Kyrgyzstan;2010;All staff compensation as % of total expenditure in public institutions (%);64.5
417;Kyrgyzstan;2010;Capital expenditure as % of total expenditure in public institutions (%);6.5
417;Kyrgyzstan;2010;Public expenditure on education (% of GDP);5.8
417;Kyrgyzstan;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);16.2
417;Kyrgyzstan;2015;All staff compensation as % of total expenditure in public institutions (%);68.1
417;Kyrgyzstan;2015;Capital expenditure as % of total expenditure in public institutions (%);15.7
417;Kyrgyzstan;2015;Public expenditure on education (% of GDP);6.0
417;Kyrgyzstan;2017;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);14.4
417;Kyrgyzstan;2017;All staff compensation as % of total expenditure in public institutions (%);70.7
417;Kyrgyzstan;2017;Capital expenditure as % of total expenditure in public institutions (%);14.9
417;Kyrgyzstan;2017;Basic access to computers by level of education: Primary;88.8
417;Kyrgyzstan;2017;Basic access to computers by level of education: Lower secondary;89
417;Kyrgyzstan;2017;Basic access to computers by level of education: Upper secondary;86
417;Kyrgyzstan;2017;Public expenditure on education (% of GDP);6.0
417;Kyrgyzstan;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);14.1
417;Kyrgyzstan;2019;All staff compensation as % of total expenditure in public institutions (%);75.7
417;Kyrgyzstan;2019;Capital expenditure as % of total expenditure in public institutions (%);10.1
417;Kyrgyzstan;2019;Public expenditure on education (% of GDP);5.4
417;Kyrgyzstan;2020;Basic access to computers by level of education: Upper secondary;94
417;Kyrgyzstan;2020;Public expenditure on education (% of GDP);6.6
417;Kyrgyzstan;2021;Basic access to computers by level of education: Upper secondary;95
418;Laos;2005;Public expenditure on education (% of GDP);2.4
418;Laos;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);16.7
418;Laos;2010;All staff compensation as % of total expenditure in public institutions (%);65.0
418;Laos;2010;Capital expenditure as % of total expenditure in public institutions (%);18.3
418;Laos;2010;Public expenditure on education (% of GDP);1.7
418;Laos;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);12.4
418;Laos;2014;All staff compensation as % of total expenditure in public institutions (%);72.6
418;Laos;2014;Capital expenditure as % of total expenditure in public institutions (%);15.0
418;Laos;2014;Public expenditure on education (% of GDP);2.9
418;Laos;2015;Public expenditure on education (% of GDP);2.7
418;Laos;2021;Public expenditure on education (% of GDP);1.9
428;Latvia;2005;Public expenditure on education (% of GDP);5.3
428;Latvia;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.6
428;Latvia;2010;All staff compensation as % of total expenditure in public institutions (%);65.7
428;Latvia;2010;Capital expenditure as % of total expenditure in public institutions (%);12.7
428;Latvia;2010;Public expenditure on education (% of GDP);5.0
428;Latvia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);23.8
428;Latvia;2015;All staff compensation as % of total expenditure in public institutions (%);60.5
428;Latvia;2015;Capital expenditure as % of total expenditure in public institutions (%);15.6
428;Latvia;2015;Public expenditure on education (% of GDP);5.3
428;Latvia;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);25.3
428;Latvia;2016;All staff compensation as % of total expenditure in public institutions (%);65.3
428;Latvia;2016;Capital expenditure as % of total expenditure in public institutions (%);9.3
428;Latvia;2016;Basic access to computers by level of education: Primary;100.0
428;Latvia;2016;Basic access to computers by level of education: Lower secondary;100
428;Latvia;2016;Basic access to computers by level of education: Upper secondary;100
428;Latvia;2016;Public expenditure on education (% of GDP);4.7
428;Latvia;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.5
428;Latvia;2019;All staff compensation as % of total expenditure in public institutions (%);64.4
428;Latvia;2019;Capital expenditure as % of total expenditure in public institutions (%);15.1
428;Latvia;2019;Basic access to computers by level of education: Primary;68.6
428;Latvia;2019;Public expenditure on education (% of GDP);4.4
422;Lebanon;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);1.6
422;Lebanon;2005;All staff compensation as % of total expenditure in public institutions (%);94.7
422;Lebanon;2005;Capital expenditure as % of total expenditure in public institutions (%);3.7
422;Lebanon;2005;Public expenditure on education (% of GDP);2.6
422;Lebanon;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);0.1
422;Lebanon;2010;All staff compensation as % of total expenditure in public institutions (%);88.0
422;Lebanon;2010;Capital expenditure as % of total expenditure in public institutions (%);11.9
422;Lebanon;2010;Public expenditure on education (% of GDP);1.6
422;Lebanon;2011;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);0.1
422;Lebanon;2011;All staff compensation as % of total expenditure in public institutions (%);86.8
422;Lebanon;2011;Capital expenditure as % of total expenditure in public institutions (%);13.1
422;Lebanon;2011;Public expenditure on education (% of GDP);1.7
422;Lebanon;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);2.4
422;Lebanon;2013;All staff compensation as % of total expenditure in public institutions (%);97.6
422;Lebanon;2013;Public expenditure on education (% of GDP);2.4
422;Lebanon;2021;Basic access to computers by level of education: Primary;69.6
422;Lebanon;2021;Basic access to computers by level of education: Lower secondary;82
422;Lebanon;2021;Basic access to computers by level of education: Upper secondary;91
426;Lesotho;2005;Public expenditure on education (% of GDP);12.1
426;Lesotho;2008;Capital expenditure as % of total expenditure in public institutions (%);1.7
426;Lesotho;2008;Public expenditure on education (% of GDP);12.3
426;Lesotho;2015;Public expenditure on education (% of GDP);7.1
426;Lesotho;2018;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);3.6
426;Lesotho;2018;All staff compensation as % of total expenditure in public institutions (%);92.9
426;Lesotho;2018;Capital expenditure as % of total expenditure in public institutions (%);3.5
426;Lesotho;2018;Public expenditure on education (% of GDP);7.3
426;Lesotho;2022;Public expenditure on education (% of GDP);6.1
430;Liberia;2008;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);47.4
430;Liberia;2008;All staff compensation as % of total expenditure in public institutions (%);41.4
430;Liberia;2008;Capital expenditure as % of total expenditure in public institutions (%);11.2
430;Liberia;2008;Public expenditure on education (% of GDP);1.7
430;Liberia;2015;Public expenditure on education (% of GDP);2.1
430;Liberia;2020;Basic access to computers by level of education: Primary;8.2
430;Liberia;2020;Basic access to computers by level of education: Lower secondary;17
430;Liberia;2020;Basic access to computers by level of education: Upper secondary;30
430;Liberia;2020;Public expenditure on education (% of GDP);2.1
430;Liberia;2022;Public expenditure on education (% of GDP);2.6
438;Liechtenstein;2004;Public expenditure on education (% of GDP);2.4
438;Liechtenstein;2008;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);30.2
438;Liechtenstein;2008;All staff compensation as % of total expenditure in public institutions (%);69.8
438;Liechtenstein;2008;Public expenditure on education (% of GDP);2.0
438;Liechtenstein;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.9
438;Liechtenstein;2010;All staff compensation as % of total expenditure in public institutions (%);68.4
438;Liechtenstein;2010;Capital expenditure as % of total expenditure in public institutions (%);12.6
438;Liechtenstein;2011;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.7
438;Liechtenstein;2011;All staff compensation as % of total expenditure in public institutions (%);73.9
438;Liechtenstein;2011;Capital expenditure as % of total expenditure in public institutions (%);5.4
438;Liechtenstein;2011;Public expenditure on education (% of GDP);2.6
440;Lithuania;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.1
440;Lithuania;2005;All staff compensation as % of total expenditure in public institutions (%);73.0
440;Lithuania;2005;Capital expenditure as % of total expenditure in public institutions (%);6.8
440;Lithuania;2005;Public expenditure on education (% of GDP);4.9
440;Lithuania;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);19.5
440;Lithuania;2010;All staff compensation as % of total expenditure in public institutions (%);72.9
440;Lithuania;2010;Capital expenditure as % of total expenditure in public institutions (%);7.6
440;Lithuania;2010;Public expenditure on education (% of GDP);5.3
440;Lithuania;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.1
440;Lithuania;2015;All staff compensation as % of total expenditure in public institutions (%);67.5
440;Lithuania;2015;Capital expenditure as % of total expenditure in public institutions (%);12.4
440;Lithuania;2015;Basic access to computers by level of education: Primary;55.0
440;Lithuania;2015;Public expenditure on education (% of GDP);4.2
440;Lithuania;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.6
440;Lithuania;2019;All staff compensation as % of total expenditure in public institutions (%);73.8
440;Lithuania;2019;Capital expenditure as % of total expenditure in public institutions (%);5.7
440;Lithuania;2019;Basic access to computers by level of education: Primary;69.1
440;Lithuania;2019;Public expenditure on education (% of GDP);4.0
440;Lithuania;2020;Basic access to computers by level of education: Primary;97.6
440;Lithuania;2020;Basic access to computers by level of education: Lower secondary;100
440;Lithuania;2020;Basic access to computers by level of education: Upper secondary;100
442;Luxembourg;2005;Public expenditure on education (% of GDP);4.9
442;Luxembourg;2010;Public expenditure on education (% of GDP);5.3
442;Luxembourg;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);14.1
442;Luxembourg;2015;All staff compensation as % of total expenditure in public institutions (%);76.1
442;Luxembourg;2015;Capital expenditure as % of total expenditure in public institutions (%);9.8
442;Luxembourg;2015;Public expenditure on education (% of GDP);3.8
442;Luxembourg;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);17.2
442;Luxembourg;2019;All staff compensation as % of total expenditure in public institutions (%);71.5
442;Luxembourg;2019;Capital expenditure as % of total expenditure in public institutions (%);11.2
442;Luxembourg;2019;Public expenditure on education (% of GDP);3.7
450;Madagascar;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);24.4
450;Madagascar;2005;All staff compensation as % of total expenditure in public institutions (%);43.8
450;Madagascar;2005;Capital expenditure as % of total expenditure in public institutions (%);31.8
450;Madagascar;2005;Public expenditure on education (% of GDP);3.3
450;Madagascar;2008;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);31.3
450;Madagascar;2008;All staff compensation as % of total expenditure in public institutions (%);58.7
450;Madagascar;2008;Capital expenditure as % of total expenditure in public institutions (%);10.0
450;Madagascar;2008;Public expenditure on education (% of GDP);2.6
450;Madagascar;2010;Public expenditure on education (% of GDP);2.6
450;Madagascar;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);29.5
450;Madagascar;2013;All staff compensation as % of total expenditure in public institutions (%);67.4
450;Madagascar;2013;Capital expenditure as % of total expenditure in public institutions (%);3.1
450;Madagascar;2013;Public expenditure on education (% of GDP);1.8
450;Madagascar;2015;Public expenditure on education (% of GDP);2.2
450;Madagascar;2019;Basic access to computers by level of education: Primary;0.5
450;Madagascar;2019;Basic access to computers by level of education: Lower secondary;16
450;Madagascar;2019;Basic access to computers by level of education: Upper secondary;21
450;Madagascar;2019;Public expenditure on education (% of GDP);3.0
450;Madagascar;2021;Public expenditure on education (% of GDP);3.2
454;Malawi;2003;Public expenditure on education (% of GDP);3.2
454;Malawi;2010;Capital expenditure as % of total expenditure in public institutions (%);4.9
454;Malawi;2010;Public expenditure on education (% of GDP);3.5
454;Malawi;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);14.5
454;Malawi;2013;All staff compensation as % of total expenditure in public institutions (%);71.7
454;Malawi;2013;Capital expenditure as % of total expenditure in public institutions (%);13.8
454;Malawi;2013;Public expenditure on education (% of GDP);5.4
454;Malawi;2015;Capital expenditure as % of total expenditure in public institutions (%);1.2
454;Malawi;2015;Public expenditure on education (% of GDP);5.6
454;Malawi;2016;Capital expenditure as % of total expenditure in public institutions (%);3.1
454;Malawi;2016;Basic access to computers by level of education: Upper secondary;44
454;Malawi;2016;Public expenditure on education (% of GDP);4.7
454;Malawi;2018;Public expenditure on education (% of GDP);3.3
454;Malawi;2019;Basic access to computers by level of education: Primary;8.5
458;Malaysia;2004;Public expenditure on education (% of GDP);5.9
458;Malaysia;2009;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);15.7
458;Malaysia;2009;All staff compensation as % of total expenditure in public institutions (%);68.8
458;Malaysia;2009;Capital expenditure as % of total expenditure in public institutions (%);15.5
458;Malaysia;2009;Public expenditure on education (% of GDP);6.0
458;Malaysia;2010;Public expenditure on education (% of GDP);5.0
458;Malaysia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);28.7
458;Malaysia;2015;All staff compensation as % of total expenditure in public institutions (%);65.7
458;Malaysia;2015;Capital expenditure as % of total expenditure in public institutions (%);5.6
458;Malaysia;2015;Public expenditure on education (% of GDP);4.9
458;Malaysia;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.6
458;Malaysia;2021;All staff compensation as % of total expenditure in public institutions (%);82.8
458;Malaysia;2021;Capital expenditure as % of total expenditure in public institutions (%);5.6
458;Malaysia;2021;Basic access to computers by level of education: Primary;99.6
458;Malaysia;2021;Basic access to computers by level of education: Lower secondary;100
458;Malaysia;2021;Basic access to computers by level of education: Upper secondary;97
458;Malaysia;2021;Public expenditure on education (% of GDP);4.3
462;Maldives;2005;Public expenditure on education (% of GDP);5.0
462;Maldives;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.9
462;Maldives;2010;All staff compensation as % of total expenditure in public institutions (%);77.8
462;Maldives;2010;Capital expenditure as % of total expenditure in public institutions (%);1.3
462;Maldives;2010;Public expenditure on education (% of GDP);3.6
462;Maldives;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);44.6
462;Maldives;2015;All staff compensation as % of total expenditure in public institutions (%);54.4
462;Maldives;2015;Capital expenditure as % of total expenditure in public institutions (%);0.9
462;Maldives;2015;Public expenditure on education (% of GDP);4.6
462;Maldives;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);39.7
462;Maldives;2016;All staff compensation as % of total expenditure in public institutions (%);59.6
462;Maldives;2016;Capital expenditure as % of total expenditure in public institutions (%);0.7
462;Maldives;2016;Public expenditure on education (% of GDP);4.5
462;Maldives;2019;Basic access to computers by level of education: Primary;73.0
462;Maldives;2019;Basic access to computers by level of education: Lower secondary;81
462;Maldives;2019;Basic access to computers by level of education: Upper secondary;68
462;Maldives;2019;Public expenditure on education (% of GDP);4.2
462;Maldives;2021;Public expenditure on education (% of GDP);5.0
466;Mali;2005;Public expenditure on education (% of GDP);3.5
466;Mali;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);40.9
466;Mali;2010;All staff compensation as % of total expenditure in public institutions (%);54.1
466;Mali;2010;Capital expenditure as % of total expenditure in public institutions (%);5.0
466;Mali;2010;Public expenditure on education (% of GDP);3.3
466;Mali;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);34.4
466;Mali;2015;All staff compensation as % of total expenditure in public institutions (%);61.8
466;Mali;2015;Capital expenditure as % of total expenditure in public institutions (%);3.8
466;Mali;2015;Public expenditure on education (% of GDP);3.8
466;Mali;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);24.8
466;Mali;2021;All staff compensation as % of total expenditure in public institutions (%);73.2
466;Mali;2021;Capital expenditure as % of total expenditure in public institutions (%);2.0
466;Mali;2021;Public expenditure on education (% of GDP);4.4
470;Malta;2005;Public expenditure on education (% of GDP);5.4
470;Malta;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);17.5
470;Malta;2010;All staff compensation as % of total expenditure in public institutions (%);72.4
470;Malta;2010;Capital expenditure as % of total expenditure in public institutions (%);10.1
470;Malta;2010;Public expenditure on education (% of GDP);6.3
470;Malta;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.7
470;Malta;2015;All staff compensation as % of total expenditure in public institutions (%);72.7
470;Malta;2015;Capital expenditure as % of total expenditure in public institutions (%);13.6
470;Malta;2015;Public expenditure on education (% of GDP);5.0
470;Malta;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);15.5
470;Malta;2019;All staff compensation as % of total expenditure in public institutions (%);71.7
470;Malta;2019;Capital expenditure as % of total expenditure in public institutions (%);12.8
470;Malta;2019;Basic access to computers by level of education: Primary;99.0
470;Malta;2019;Public expenditure on education (% of GDP);5.0
584;Marshall Islands;2003;Public expenditure on education (% of GDP);11.8
584;Marshall Islands;2006;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);42.8
584;Marshall Islands;2006;All staff compensation as % of total expenditure in public institutions (%);35.8
584;Marshall Islands;2006;Capital expenditure as % of total expenditure in public institutions (%);21.4
584;Marshall Islands;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);9.2
584;Marshall Islands;2019;All staff compensation as % of total expenditure in public institutions (%);90.8
584;Marshall Islands;2019;Basic access to computers by level of education: Primary;92.6
584;Marshall Islands;2019;Basic access to computers by level of education: Upper secondary;94
584;Marshall Islands;2019;Public expenditure on education (% of GDP);9.9
584;Marshall Islands;2020;Basic access to computers by level of education: Primary;92.6
584;Marshall Islands;2020;Basic access to computers by level of education: Upper secondary;89
584;Marshall Islands;2021;Basic access to computers by level of education: Lower secondary;26
584;Marshall Islands;2021;Basic access to computers by level of education: Upper secondary;61
584;Marshall Islands;2021;Public expenditure on education (% of GDP);15.7
478;Mauritania;2004;Public expenditure on education (% of GDP);2.0
478;Mauritania;2006;Public expenditure on education (% of GDP);2.0
478;Mauritania;2013;Public expenditure on education (% of GDP);2.3
478;Mauritania;2016;Basic access to computers by level of education: Primary;13.4
478;Mauritania;2016;Basic access to computers by level of education: Lower secondary;100
478;Mauritania;2016;Basic access to computers by level of education: Upper secondary;100
478;Mauritania;2016;Public expenditure on education (% of GDP);1.9
478;Mauritania;2017;Basic access to computers by level of education: Primary;14.0
478;Mauritania;2017;Basic access to computers by level of education: Upper secondary;100
478;Mauritania;2021;Public expenditure on education (% of GDP);1.7
480;Mauritius;2005;Public expenditure on education (% of GDP);4.1
480;Mauritius;2010;Capital expenditure as % of total expenditure in public institutions (%);13.5
480;Mauritius;2010;Public expenditure on education (% of GDP);3.6
480;Mauritius;2015;Basic access to computers by level of education: Primary;100.0
480;Mauritius;2015;Basic access to computers by level of education: Lower secondary;100
480;Mauritius;2015;Basic access to computers by level of education: Upper secondary;100
480;Mauritius;2015;Public expenditure on education (% of GDP);4.8
480;Mauritius;2021;Basic access to computers by level of education: Primary;96.5
480;Mauritius;2021;Basic access to computers by level of education: Lower secondary;100
480;Mauritius;2021;Basic access to computers by level of education: Upper secondary;100
480;Mauritius;2021;Public expenditure on education (% of GDP);4.7
480;Mauritius;2022;Basic access to computers by level of education: Primary;97.8
480;Mauritius;2022;Basic access to computers by level of education: Lower secondary;100
480;Mauritius;2022;Basic access to computers by level of education: Upper secondary;100
484;Mexico;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.2
484;Mexico;2005;All staff compensation as % of total expenditure in public institutions (%);85.7
484;Mexico;2005;Capital expenditure as % of total expenditure in public institutions (%);3.1
484;Mexico;2005;Public expenditure on education (% of GDP);4.8
484;Mexico;2009;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.1
484;Mexico;2009;All staff compensation as % of total expenditure in public institutions (%);84.8
484;Mexico;2009;Capital expenditure as % of total expenditure in public institutions (%);4.1
484;Mexico;2009;Basic access to computers by level of education: Primary;63.8
484;Mexico;2009;Basic access to computers by level of education: Lower secondary;90
484;Mexico;2009;Public expenditure on education (% of GDP);5.2
484;Mexico;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);10.3
484;Mexico;2010;All staff compensation as % of total expenditure in public institutions (%);85.7
484;Mexico;2010;Capital expenditure as % of total expenditure in public institutions (%);3.9
484;Mexico;2010;Public expenditure on education (% of GDP);5.2
484;Mexico;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.8
484;Mexico;2013;All staff compensation as % of total expenditure in public institutions (%);83.8
484;Mexico;2013;Capital expenditure as % of total expenditure in public institutions (%);4.4
484;Mexico;2013;Basic access to computers by level of education: Primary;48.0
484;Mexico;2013;Public expenditure on education (% of GDP);4.7
484;Mexico;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.9
484;Mexico;2015;All staff compensation as % of total expenditure in public institutions (%);85.1
484;Mexico;2015;Capital expenditure as % of total expenditure in public institutions (%);3.1
484;Mexico;2015;Public expenditure on education (% of GDP);5.2
484;Mexico;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.3
484;Mexico;2016;All staff compensation as % of total expenditure in public institutions (%);83.4
484;Mexico;2016;Capital expenditure as % of total expenditure in public institutions (%);3.3
484;Mexico;2016;Basic access to computers by level of education: Upper secondary;67
484;Mexico;2016;Public expenditure on education (% of GDP);4.9
484;Mexico;2018;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.0
484;Mexico;2018;All staff compensation as % of total expenditure in public institutions (%);84.8
484;Mexico;2018;Capital expenditure as % of total expenditure in public institutions (%);2.1
484;Mexico;2018;Public expenditure on education (% of GDP);4.3
484;Mexico;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);12.8
484;Mexico;2019;All staff compensation as % of total expenditure in public institutions (%);85.1
484;Mexico;2019;Capital expenditure as % of total expenditure in public institutions (%);2.1
583;Micronesia (Fed. States of);2000;Public expenditure on education (% of GDP);6.7
583;Micronesia (Fed. States of);2015;Public expenditure on education (% of GDP);12.4
583;Micronesia (Fed. States of);2019;Basic access to computers by level of education: Primary;21.4
583;Micronesia (Fed. States of);2019;Basic access to computers by level of education: Lower secondary;33
583;Micronesia (Fed. States of);2019;Public expenditure on education (% of GDP);10.2
583;Micronesia (Fed. States of);2021;Basic access to computers by level of education: Primary;32.2
583;Micronesia (Fed. States of);2021;Basic access to computers by level of education: Lower secondary;33
583;Micronesia (Fed. States of);2021;Basic access to computers by level of education: Upper secondary;80
492;Monaco;2004;Public expenditure on education (% of GDP);1.2
492;Monaco;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);8.4
492;Monaco;2010;All staff compensation as % of total expenditure in public institutions (%);90.7
492;Monaco;2010;Capital expenditure as % of total expenditure in public institutions (%);0.9
492;Monaco;2010;Public expenditure on education (% of GDP);1.3
492;Monaco;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);4.3
492;Monaco;2014;All staff compensation as % of total expenditure in public institutions (%);87.3
492;Monaco;2014;Capital expenditure as % of total expenditure in public institutions (%);8.4
492;Monaco;2014;Public expenditure on education (% of GDP);1.0
492;Monaco;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);8.5
492;Monaco;2015;All staff compensation as % of total expenditure in public institutions (%);83.7
492;Monaco;2015;Capital expenditure as % of total expenditure in public institutions (%);7.8
492;Monaco;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);3.5
492;Monaco;2021;All staff compensation as % of total expenditure in public institutions (%);54.3
492;Monaco;2021;Capital expenditure as % of total expenditure in public institutions (%);42.2
492;Monaco;2021;Basic access to computers by level of education: Primary;100.0
492;Monaco;2021;Basic access to computers by level of education: Lower secondary;100
492;Monaco;2021;Basic access to computers by level of education: Upper secondary;100
492;Monaco;2021;Public expenditure on education (% of GDP);1.4
492;Monaco;2022;Basic access to computers by level of education: Primary;100.0
492;Monaco;2022;Basic access to computers by level of education: Lower secondary;100
492;Monaco;2022;Basic access to computers by level of education: Upper secondary;100
496;Mongolia;2004;Public expenditure on education (% of GDP);4.3
496;Mongolia;2010;Public expenditure on education (% of GDP);4.6
496;Mongolia;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);98.3
496;Mongolia;2013;All staff compensation as % of total expenditure in public institutions (%);1.7
496;Mongolia;2013;Capital expenditure as % of total expenditure in public institutions (%);0.0
496;Mongolia;2013;Public expenditure on education (% of GDP);5.2
496;Mongolia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);98.1
496;Mongolia;2015;All staff compensation as % of total expenditure in public institutions (%);1.9
496;Mongolia;2015;Public expenditure on education (% of GDP);4.4
496;Mongolia;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.8
496;Mongolia;2016;All staff compensation as % of total expenditure in public institutions (%);59.2
496;Mongolia;2016;Capital expenditure as % of total expenditure in public institutions (%);14.0
496;Mongolia;2016;Basic access to computers by level of education: Lower secondary;92
496;Mongolia;2016;Basic access to computers by level of education: Upper secondary;91
496;Mongolia;2016;Public expenditure on education (% of GDP);5.2
496;Mongolia;2017;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.8
496;Mongolia;2017;All staff compensation as % of total expenditure in public institutions (%);69.3
496;Mongolia;2017;Capital expenditure as % of total expenditure in public institutions (%);8.9
496;Mongolia;2017;Public expenditure on education (% of GDP);4.3
496;Mongolia;2021;Public expenditure on education (% of GDP);6.5
499;Montenegro;2019;Basic access to computers by level of education: Primary;38.4
500;Montserrat;2004;Public expenditure on education (% of GDP);3.8
500;Montserrat;2009;Public expenditure on education (% of GDP);5.1
500;Montserrat;2010;Basic access to computers by level of education: Primary;50.0
500;Montserrat;2010;Basic access to computers by level of education: Lower secondary;100
500;Montserrat;2010;Basic access to computers by level of education: Upper secondary;100
500;Montserrat;2015;Public expenditure on education (% of GDP);5.5
