SYB66_329_202310_Labour Force and Unemployment;;;;;
T17;Labour force participation and unemployment;;;;
404;Kenya;2005;Labour force participation - Total;73.1;
404;Kenya;2005;Unemployment rate - Total;3.0;
404;Kenya;2005;Labour force participation - Male;75.5;
404;Kenya;2005;Unemployment rate - Male;2.7;
404;Kenya;2005;Labour force participation - Female;70.8;
404;Kenya;2005;Unemployment rate - Female;3.2;
404;Kenya;2010;Labour force participation - Total;73.7;
404;Kenya;2010;Unemployment rate - Total;2.8;
404;Kenya;2010;Labour force participation - Male;76.4;
404;Kenya;2010;Unemployment rate - Male;2.6;
404;Kenya;2010;Labour force participation - Female;71.1;
404;Kenya;2010;Unemployment rate - Female;3.1;
404;Kenya;2015;Labour force participation - Total;74.3;
404;Kenya;2015;Unemployment rate - Total;2.8;
404;Kenya;2015;Labour force participation - Male;77.3;
404;Kenya;2015;Unemployment rate - Male;2.6;
404;Kenya;2015;Labour force participation - Female;71.4;
404;Kenya;2015;Unemployment rate - Female;3.0;
404;Kenya;2023;Labour force participation - Total;74.4;
404;Kenya;2023;Unemployment rate - Total;5.5;
404;Kenya;2023;Labour force participation - Male;76.1;
404;Kenya;2023;Unemployment rate - Male;5.2;
404;Kenya;2023;Labour force participation - Female;72.8;
404;Kenya;2023;Unemployment rate - Female;5.8;
296;Kiribati;2005;Labour force participation - Total;26.4;
296;Kiribati;2005;Unemployment rate - Total;14.7;
296;Kiribati;2005;Labour force participation - Male;32.8;
296;Kiribati;2005;Unemployment rate - Male;12.3;
296;Kiribati;2005;Labour force participation - Female;20.4;
296;Kiribati;2005;Unemployment rate - Female;18.2;
296;Kiribati;2010;Labour force participation - Total;59.3;
296;Kiribati;2010;Unemployment rate - Total;30.6;
296;Kiribati;2010;Labour force participation - Male;66.8;
296;Kiribati;2010;Unemployment rate - Male;27.6;
296;Kiribati;2010;Labour force participation - Female;52.3;
296;Kiribati;2010;Unemployment rate - Female;34.1;
412;Kosovo;2005;Labour force participation - Total;48.7;
412;Kosovo;2005;Unemployment rate - Total;41.4;
412;Kosovo;2005;Labour force participation - Male;68.3;
412;Kosovo;2005;Unemployment rate - Male;32.9;
412;Kosovo;2005;Labour force participation - Female;29.7;
412;Kosovo;2005;Unemployment rate - Female;60.5;
412;Kosovo;2009;Labour force participation - Total;47.7;
412;Kosovo;2009;Unemployment rate - Total;45.4;
412;Kosovo;2009;Labour force participation - Male;66.9;
412;Kosovo;2009;Unemployment rate - Male;56.4;
412;Kosovo;2009;Labour force participation - Female;28.7;
412;Kosovo;2009;Unemployment rate - Female;40.7;
412;Kosovo;2012;Labour force participation - Total;37.1;
412;Kosovo;2012;Unemployment rate - Total;30.9;
412;Kosovo;2012;Labour force participation - Male;55.5;
412;Kosovo;2012;Unemployment rate - Male;28.1;
412;Kosovo;2012;Labour force participation - Female;17.9;
412;Kosovo;2012;Unemployment rate - Female;40.0;
412;Kosovo;2013;Labour force participation - Total;40.6;
412;Kosovo;2013;Labour force participation - Male;60.2;
412;Kosovo;2013;Labour force participation - Female;21.1;
414;Kuwait;2005;Labour force participation - Total;68.3;
414;Kuwait;2005;Unemployment rate - Total;1.5;
414;Kuwait;2005;Labour force participation - Male;82.2;
414;Kuwait;2005;Unemployment rate - Male;0.9;
414;Kuwait;2005;Labour force participation - Female;46.1;
414;Kuwait;2005;Unemployment rate - Female;3.2;
414;Kuwait;2010;Labour force participation - Total;68.7;
414;Kuwait;2010;Unemployment rate - Total;1.8;
414;Kuwait;2010;Labour force participation - Male;83.9;
414;Kuwait;2010;Unemployment rate - Male;1.4;
414;Kuwait;2010;Labour force participation - Female;47.3;
414;Kuwait;2010;Unemployment rate - Female;2.8;
414;Kuwait;2015;Labour force participation - Total;72.8;
414;Kuwait;2015;Unemployment rate - Total;2.2;
414;Kuwait;2015;Labour force participation - Male;87.3;
414;Kuwait;2015;Unemployment rate - Male;1.3;
414;Kuwait;2015;Labour force participation - Female;49.6;
414;Kuwait;2015;Unemployment rate - Female;4.8;
414;Kuwait;2023;Labour force participation - Total;71.7;
414;Kuwait;2023;Unemployment rate - Total;2.5;
414;Kuwait;2023;Labour force participation - Male;85.9;
414;Kuwait;2023;Unemployment rate - Male;1.2;
414;Kuwait;2023;Labour force participation - Female;48.1;
414;Kuwait;2023;Unemployment rate - Female;6.4;
417;Kyrgyzstan;2005;Labour force participation - Total;64.6;
417;Kyrgyzstan;2005;Unemployment rate - Total;2.4;
417;Kyrgyzstan;2005;Labour force participation - Male;76.1;
417;Kyrgyzstan;2005;Unemployment rate - Male;2.3;
417;Kyrgyzstan;2005;Labour force participation - Female;54.0;
417;Kyrgyzstan;2005;Unemployment rate - Female;2.5;
417;Kyrgyzstan;2010;Labour force participation - Total;64.3;
417;Kyrgyzstan;2010;Unemployment rate - Total;2.8;
417;Kyrgyzstan;2010;Labour force participation - Male;77.0;
417;Kyrgyzstan;2010;Unemployment rate - Male;2.7;
417;Kyrgyzstan;2010;Labour force participation - Female;52.5;
417;Kyrgyzstan;2010;Unemployment rate - Female;3.0;
417;Kyrgyzstan;2015;Labour force participation - Total;62.4;
417;Kyrgyzstan;2015;Unemployment rate - Total;3.4;
417;Kyrgyzstan;2015;Labour force participation - Male;75.7;
417;Kyrgyzstan;2015;Unemployment rate - Male;3.2;
417;Kyrgyzstan;2015;Labour force participation - Female;50.0;
417;Kyrgyzstan;2015;Unemployment rate - Female;3.6;
417;Kyrgyzstan;2023;Labour force participation - Total;59.3;
417;Kyrgyzstan;2023;Unemployment rate - Total;4.8;
417;Kyrgyzstan;2023;Labour force participation - Male;74.6;
417;Kyrgyzstan;2023;Unemployment rate - Male;4.5;
417;Kyrgyzstan;2023;Labour force participation - Female;45.3;
417;Kyrgyzstan;2023;Unemployment rate - Female;5.2;
418;Lao People's Dem. Rep.;2005;Labour force participation - Total;62.7;
418;Lao People's Dem. Rep.;2005;Unemployment rate - Total;1.4;
418;Lao People's Dem. Rep.;2005;Labour force participation - Male;66.6;
418;Lao People's Dem. Rep.;2005;Unemployment rate - Male;1.3;
418;Lao People's Dem. Rep.;2005;Labour force participation - Female;58.8;
418;Lao People's Dem. Rep.;2005;Unemployment rate - Female;1.4;
418;Lao People's Dem. Rep.;2010;Labour force participation - Total;61.3;
418;Lao People's Dem. Rep.;2010;Unemployment rate - Total;0.7;
418;Lao People's Dem. Rep.;2010;Labour force participation - Male;65.3;
418;Lao People's Dem. Rep.;2010;Unemployment rate - Male;0.8;
418;Lao People's Dem. Rep.;2010;Labour force participation - Female;57.3;
418;Lao People's Dem. Rep.;2010;Unemployment rate - Female;0.7;
418;Laos;2015;Labour force participation - Total;60.1;
418;Laos;2015;Unemployment rate - Total;2.5;
418;Laos;2015;Labour force participation - Male;64.0;
418;Laos;2015;Unemployment rate - Male;2.9;
418;Laos;2015;Labour force participation - Female;56.3;
418;Laos;2015;Unemployment rate - Female;2.1;
418;Laos;2023;Labour force participation - Total;58.8;
418;Laos;2023;Unemployment rate - Total;2.9;
418;Laos;2023;Labour force participation - Male;62.2;
418;Laos;2023;Unemployment rate - Male;3.3;
418;Laos;2023;Labour force participation - Female;55.4;
418;Laos;2023;Unemployment rate - Female;2.5;
428;Latvia;2005;Labour force participation - Total;57.4;
428;Latvia;2005;Unemployment rate - Total;10.0;
428;Latvia;2005;Labour force participation - Male;65.6;
428;Latvia;2005;Unemployment rate - Male;10.1;
428;Latvia;2005;Labour force participation - Female;50.7;
428;Latvia;2005;Unemployment rate - Female;10.0;
428;Latvia;2010;Labour force participation - Total;58.9;
428;Latvia;2010;Unemployment rate - Total;19.5;
428;Latvia;2010;Labour force participation - Male;65.0;
428;Latvia;2010;Unemployment rate - Male;22.7;
428;Latvia;2010;Labour force participation - Female;53.9;
428;Latvia;2010;Unemployment rate - Female;16.3;
428;Latvia;2015;Labour force participation - Total;60.1;
428;Latvia;2015;Unemployment rate - Total;9.9;
428;Latvia;2015;Labour force participation - Male;67.4;
428;Latvia;2015;Unemployment rate - Male;11.1;
428;Latvia;2015;Labour force participation - Female;54.1;
428;Latvia;2015;Unemployment rate - Female;8.6;
428;Latvia;2023;Labour force participation - Total;61.4;
428;Latvia;2023;Unemployment rate - Total;6.3;
428;Latvia;2023;Labour force participation - Male;68.3;
428;Latvia;2023;Unemployment rate - Male;7.5;
428;Latvia;2023;Labour force participation - Female;55.6;
428;Latvia;2023;Unemployment rate - Female;5.0;
422;Lebanon;2005;Labour force participation - Total;43.8;
422;Lebanon;2005;Unemployment rate - Total;8.3;
422;Lebanon;2005;Labour force participation - Male;68.0;
422;Lebanon;2005;Unemployment rate - Male;7.8;
422;Lebanon;2005;Labour force participation - Female;20.6;
422;Lebanon;2005;Unemployment rate - Female;9.8;
422;Lebanon;2010;Labour force participation - Total;44.8;
422;Lebanon;2010;Unemployment rate - Total;6.8;
422;Lebanon;2010;Labour force participation - Male;67.4;
422;Lebanon;2010;Unemployment rate - Male;5.5;
422;Lebanon;2010;Labour force participation - Female;22.9;
422;Lebanon;2010;Unemployment rate - Female;10.7;
422;Lebanon;2015;Labour force participation - Total;47.1;
422;Lebanon;2015;Unemployment rate - Total;9.3;
422;Lebanon;2015;Labour force participation - Male;68.7;
422;Lebanon;2015;Unemployment rate - Male;7.9;
422;Lebanon;2015;Labour force participation - Female;26.1;
422;Lebanon;2015;Unemployment rate - Female;12.7;
422;Lebanon;2023;Labour force participation - Total;47.5;
422;Lebanon;2023;Unemployment rate - Total;12.8;
422;Lebanon;2023;Labour force participation - Male;67.6;
422;Lebanon;2023;Unemployment rate - Male;11.0;
422;Lebanon;2023;Labour force participation - Female;29.3;
422;Lebanon;2023;Unemployment rate - Female;16.3;
426;Lesotho;2005;Labour force participation - Total;69.8;
426;Lesotho;2005;Unemployment rate - Total;17.0;
426;Lesotho;2005;Labour force participation - Male;76.9;
426;Lesotho;2005;Unemployment rate - Male;15.3;
426;Lesotho;2005;Labour force participation - Female;63.1;
426;Lesotho;2005;Unemployment rate - Female;18.8;
426;Lesotho;2010;Labour force participation - Total;67.0;
426;Lesotho;2010;Unemployment rate - Total;16.9;
426;Lesotho;2010;Labour force participation - Male;75.0;
426;Lesotho;2010;Unemployment rate - Male;15.2;
426;Lesotho;2010;Labour force participation - Female;59.4;
426;Lesotho;2010;Unemployment rate - Female;18.8;
426;Lesotho;2015;Labour force participation - Total;65.0;
426;Lesotho;2015;Unemployment rate - Total;16.9;
426;Lesotho;2015;Labour force participation - Male;73.1;
426;Lesotho;2015;Unemployment rate - Male;15.1;
426;Lesotho;2015;Labour force participation - Female;57.3;
426;Lesotho;2015;Unemployment rate - Female;19.0;
426;Lesotho;2023;Labour force participation - Total;64.4;
426;Lesotho;2023;Unemployment rate - Total;17.9;
426;Lesotho;2023;Labour force participation - Male;71.6;
426;Lesotho;2023;Unemployment rate - Male;15.9;
426;Lesotho;2023;Labour force participation - Female;57.4;
426;Lesotho;2023;Unemployment rate - Female;20.2;
430;Liberia;2005;Labour force participation - Total;77.2;
430;Liberia;2005;Unemployment rate - Total;2.2;
430;Liberia;2005;Labour force participation - Male;82.9;
430;Liberia;2005;Unemployment rate - Male;2.2;
430;Liberia;2005;Labour force participation - Female;71.8;
430;Liberia;2005;Unemployment rate - Female;2.3;
430;Liberia;2010;Labour force participation - Total;77.2;
430;Liberia;2010;Unemployment rate - Total;2.3;
430;Liberia;2010;Labour force participation - Male;83.0;
430;Liberia;2010;Unemployment rate - Male;2.2;
430;Liberia;2010;Labour force participation - Female;71.8;
430;Liberia;2010;Unemployment rate - Female;2.3;
430;Liberia;2015;Labour force participation - Total;77.0;
430;Liberia;2015;Unemployment rate - Total;2.6;
430;Liberia;2015;Labour force participation - Male;82.3;
430;Liberia;2015;Unemployment rate - Male;3.0;
430;Liberia;2015;Labour force participation - Female;71.9;
430;Liberia;2015;Unemployment rate - Female;2.1;
430;Liberia;2023;Labour force participation - Total;76.8;
430;Liberia;2023;Unemployment rate - Total;3.6;
430;Liberia;2023;Labour force participation - Male;81.1;
430;Liberia;2023;Unemployment rate - Male;4.2;
430;Liberia;2023;Labour force participation - Female;72.6;
430;Liberia;2023;Unemployment rate - Female;2.9;
434;Libya;2005;Labour force participation - Total;47.8;
434;Libya;2005;Unemployment rate - Total;19.5;
434;Libya;2005;Labour force participation - Male;61.7;
434;Libya;2005;Unemployment rate - Male;16.3;
434;Libya;2005;Labour force participation - Female;33.3;
434;Libya;2005;Unemployment rate - Female;25.6;
434;Libya;2010;Labour force participation - Total;47.8;
434;Libya;2010;Unemployment rate - Total;19.3;
434;Libya;2010;Labour force participation - Male;61.4;
434;Libya;2010;Unemployment rate - Male;16.1;
434;Libya;2010;Labour force participation - Female;33.9;
434;Libya;2010;Unemployment rate - Female;25.3;
434;Libya;2015;Labour force participation - Total;47.6;
434;Libya;2015;Unemployment rate - Total;19.5;
434;Libya;2015;Labour force participation - Male;61.1;
434;Libya;2015;Unemployment rate - Male;16.3;
434;Libya;2015;Labour force participation - Female;33.9;
434;Libya;2015;Unemployment rate - Female;25.5;
434;Libya;2023;Labour force participation - Total;47.9;
434;Libya;2023;Unemployment rate - Total;20.5;
434;Libya;2023;Labour force participation - Male;60.8;
434;Libya;2023;Unemployment rate - Male;17.0;
434;Libya;2023;Labour force participation - Female;34.8;
434;Libya;2023;Unemployment rate - Female;26.7;
438;Liechtenstein;2005;Labour force participation - Total;63.0;
438;Liechtenstein;2005;Labour force participation - Male;73.7;
438;Liechtenstein;2005;Labour force participation - Female;52.8;
438;Liechtenstein;2010;Labour force participation - Total;61.6;
438;Liechtenstein;2010;Unemployment rate - Total;2.6;
438;Liechtenstein;2010;Labour force participation - Male;70.9;
438;Liechtenstein;2010;Unemployment rate - Male;2.3;
438;Liechtenstein;2010;Labour force participation - Female;52.6;
438;Liechtenstein;2010;Unemployment rate - Female;3.1;
438;Liechtenstein;2013;Labour force participation - Total;61.9;
438;Liechtenstein;2013;Unemployment rate - Total;2.6;
438;Liechtenstein;2013;Labour force participation - Male;70.6;
438;Liechtenstein;2013;Unemployment rate - Male;2.3;
438;Liechtenstein;2013;Labour force participation - Female;53.5;
438;Liechtenstein;2013;Unemployment rate - Female;3.1;
440;Lithuania;2005;Labour force participation - Total;56.3;
440;Lithuania;2005;Unemployment rate - Total;8.3;
440;Lithuania;2005;Labour force participation - Male;62.9;
440;Lithuania;2005;Unemployment rate - Male;8.1;
440;Lithuania;2005;Labour force participation - Female;50.8;
440;Lithuania;2005;Unemployment rate - Female;8.5;
440;Lithuania;2010;Labour force participation - Total;56.8;
440;Lithuania;2010;Unemployment rate - Total;17.8;
440;Lithuania;2010;Labour force participation - Male;62.0;
440;Lithuania;2010;Unemployment rate - Male;21.2;
440;Lithuania;2010;Labour force participation - Female;52.5;
440;Lithuania;2010;Unemployment rate - Female;14.5;
440;Lithuania;2015;Labour force participation - Total;59.2;
440;Lithuania;2015;Unemployment rate - Total;9.1;
440;Lithuania;2015;Labour force participation - Male;64.8;
440;Lithuania;2015;Unemployment rate - Male;10.1;
440;Lithuania;2015;Labour force participation - Female;54.4;
440;Lithuania;2015;Unemployment rate - Female;8.2;
440;Lithuania;2023;Labour force participation - Total;62.9;
440;Lithuania;2023;Unemployment rate - Total;5.5;
440;Lithuania;2023;Labour force participation - Male;68.2;
440;Lithuania;2023;Unemployment rate - Male;6.2;
440;Lithuania;2023;Labour force participation - Female;58.4;
440;Lithuania;2023;Unemployment rate - Female;4.9;
442;Luxembourg;2005;Labour force participation - Total;55.6;
442;Luxembourg;2005;Unemployment rate - Total;4.5;
442;Luxembourg;2005;Labour force participation - Male;65.1;
442;Luxembourg;2005;Unemployment rate - Male;3.5;
442;Luxembourg;2005;Labour force participation - Female;46.4;
442;Luxembourg;2005;Unemployment rate - Female;5.8;
442;Luxembourg;2010;Labour force participation - Total;57.7;
442;Luxembourg;2010;Unemployment rate - Total;4.4;
442;Luxembourg;2010;Labour force participation - Male;65.8;
442;Luxembourg;2010;Unemployment rate - Male;3.8;
442;Luxembourg;2010;Labour force participation - Female;49.8;
442;Luxembourg;2010;Unemployment rate - Female;5.1;
442;Luxembourg;2015;Labour force participation - Total;60.0;
442;Luxembourg;2015;Unemployment rate - Total;6.7;
442;Luxembourg;2015;Labour force participation - Male;65.4;
442;Luxembourg;2015;Unemployment rate - Male;6.1;
442;Luxembourg;2015;Labour force participation - Female;54.6;
442;Luxembourg;2015;Unemployment rate - Female;7.3;
442;Luxembourg;2023;Labour force participation - Total;61.1;
442;Luxembourg;2023;Unemployment rate - Total;5.0;
442;Luxembourg;2023;Labour force participation - Male;64.8;
442;Luxembourg;2023;Unemployment rate - Male;4.7;
442;Luxembourg;2023;Labour force participation - Female;57.3;
442;Luxembourg;2023;Unemployment rate - Female;5.3;
450;Madagascar;2005;Labour force participation - Total;86.6;
450;Madagascar;2005;Unemployment rate - Total;2.6;
450;Madagascar;2005;Labour force participation - Male;89.0;
450;Madagascar;2005;Unemployment rate - Male;1.8;
450;Madagascar;2005;Labour force participation - Female;84.2;
450;Madagascar;2005;Unemployment rate - Female;3.5;
450;Madagascar;2010;Labour force participation - Total;86.5;
450;Madagascar;2010;Unemployment rate - Total;4.3;
450;Madagascar;2010;Labour force participation - Male;89.1;
450;Madagascar;2010;Unemployment rate - Male;3.3;
450;Madagascar;2010;Labour force participation - Female;83.9;
450;Madagascar;2010;Unemployment rate - Female;5.3;
450;Madagascar;2015;Labour force participation - Total;86.1;
450;Madagascar;2015;Unemployment rate - Total;1.8;
450;Madagascar;2015;Labour force participation - Male;89.0;
450;Madagascar;2015;Unemployment rate - Male;1.8;
450;Madagascar;2015;Labour force participation - Female;83.3;
450;Madagascar;2015;Unemployment rate - Female;1.8;
450;Madagascar;2023;Labour force participation - Total;85.9;
450;Madagascar;2023;Unemployment rate - Total;2.1;
450;Madagascar;2023;Labour force participation - Male;88.1;
450;Madagascar;2023;Unemployment rate - Male;2.0;
450;Madagascar;2023;Labour force participation - Female;83.7;
450;Madagascar;2023;Unemployment rate - Female;2.2;
454;Malawi;2005;Labour force participation - Total;80.8;
454;Malawi;2005;Unemployment rate - Total;4.9;
454;Malawi;2005;Labour force participation - Male;83.7;
454;Malawi;2005;Unemployment rate - Male;4.1;
454;Malawi;2005;Labour force participation - Female;78.2;
454;Malawi;2005;Unemployment rate - Female;5.7;
454;Malawi;2010;Labour force participation - Total;74.7;
454;Malawi;2010;Unemployment rate - Total;4.9;
454;Malawi;2010;Labour force participation - Male;79.4;
454;Malawi;2010;Unemployment rate - Male;4.1;
454;Malawi;2010;Labour force participation - Female;70.5;
454;Malawi;2010;Unemployment rate - Female;5.8;
454;Malawi;2015;Labour force participation - Total;69.6;
454;Malawi;2015;Unemployment rate - Total;5.0;
454;Malawi;2015;Labour force participation - Male;74.4;
454;Malawi;2015;Unemployment rate - Male;4.1;
454;Malawi;2015;Labour force participation - Female;65.2;
454;Malawi;2015;Unemployment rate - Female;5.9;
454;Malawi;2023;Labour force participation - Total;67.5;
454;Malawi;2023;Unemployment rate - Total;5.6;
454;Malawi;2023;Labour force participation - Male;72.1;
454;Malawi;2023;Unemployment rate - Male;4.7;
454;Malawi;2023;Labour force participation - Female;63.2;
454;Malawi;2023;Unemployment rate - Female;6.6;
458;Malaysia;2005;Labour force participation - Total;60.8;
458;Malaysia;2005;Unemployment rate - Total;3.5;
458;Malaysia;2005;Labour force participation - Male;77.2;
458;Malaysia;2005;Unemployment rate - Male;3.4;
458;Malaysia;2005;Labour force participation - Female;43.6;
458;Malaysia;2005;Unemployment rate - Female;3.7;
458;Malaysia;2010;Labour force participation - Total;60.4;
458;Malaysia;2010;Unemployment rate - Total;3.4;
458;Malaysia;2010;Labour force participation - Male;76.3;
458;Malaysia;2010;Unemployment rate - Male;3.3;
458;Malaysia;2010;Labour force participation - Female;43.5;
458;Malaysia;2010;Unemployment rate - Female;3.6;
458;Malaysia;2015;Labour force participation - Total;64.7;
458;Malaysia;2015;Unemployment rate - Total;3.1;
458;Malaysia;2015;Labour force participation - Male;78.1;
458;Malaysia;2015;Unemployment rate - Male;2.9;
458;Malaysia;2015;Labour force participation - Female;50.7;
458;Malaysia;2015;Unemployment rate - Female;3.4;
458;Malaysia;2023;Labour force participation - Total;65.8;
458;Malaysia;2023;Unemployment rate - Total;3.8;
458;Malaysia;2023;Labour force participation - Male;78.6;
458;Malaysia;2023;Unemployment rate - Male;3.6;
458;Malaysia;2023;Labour force participation - Female;52.7;
458;Malaysia;2023;Unemployment rate - Female;4.0;
462;Maldives;2005;Labour force participation - Total;53.3;
462;Maldives;2005;Unemployment rate - Total;7.3;
462;Maldives;2005;Labour force participation - Male;68.6;
462;Maldives;2005;Unemployment rate - Male;6.5;
462;Maldives;2005;Labour force participation - Female;37.3;
462;Maldives;2005;Unemployment rate - Female;8.9;
462;Maldives;2010;Labour force participation - Total;53.0;
462;Maldives;2010;Unemployment rate - Total;11.0;
462;Maldives;2010;Labour force participation - Male;65.7;
462;Maldives;2010;Unemployment rate - Male;10.1;
462;Maldives;2010;Labour force participation - Female;37.0;
462;Maldives;2010;Unemployment rate - Female;13.0;
462;Maldives;2015;Labour force participation - Total;57.6;
462;Maldives;2015;Unemployment rate - Total;6.6;
462;Maldives;2015;Labour force participation - Male;69.9;
462;Maldives;2015;Unemployment rate - Male;6.7;
462;Maldives;2015;Labour force participation - Female;40.0;
462;Maldives;2015;Unemployment rate - Female;6.4;
462;Maldives;2023;Labour force participation - Total;63.7;
462;Maldives;2023;Unemployment rate - Total;4.9;
462;Maldives;2023;Labour force participation - Male;78.1;
462;Maldives;2023;Unemployment rate - Male;5.1;
462;Maldives;2023;Labour force participation - Female;43.1;
462;Maldives;2023;Unemployment rate - Female;4.2;
466;Mali;2005;Labour force participation - Total;70.3;
466;Mali;2005;Unemployment rate - Total;1.3;
466;Mali;2005;Labour force participation - Male;80.1;
466;Mali;2005;Unemployment rate - Male;1.3;
466;Mali;2005;Labour force participation - Female;60.4;
466;Mali;2005;Unemployment rate - Female;1.3;
466;Mali;2010;Labour force participation - Total;70.5;
466;Mali;2010;Unemployment rate - Total;1.3;
466;Mali;2010;Labour force participation - Male;80.5;
466;Mali;2010;Unemployment rate - Male;1.3;
466;Mali;2010;Labour force participation - Female;60.2;
466;Mali;2010;Unemployment rate - Female;1.3;
466;Mali;2015;Labour force participation - Total;70.6;
466;Mali;2015;Unemployment rate - Total;1.4;
466;Mali;2015;Labour force participation - Male;79.7;
466;Mali;2015;Unemployment rate - Male;1.4;
466;Mali;2015;Labour force participation - Female;61.2;
466;Mali;2015;Unemployment rate - Female;1.3;
466;Mali;2023;Labour force participation - Total;68.0;
466;Mali;2023;Unemployment rate - Total;2.9;
466;Mali;2023;Labour force participation - Male;80.6;
466;Mali;2023;Unemployment rate - Male;2.8;
466;Mali;2023;Labour force participation - Female;55.2;
466;Mali;2023;Unemployment rate - Female;2.9;
470;Malta;2005;Labour force participation - Total;48.2;
470;Malta;2005;Unemployment rate - Total;6.9;
470;Malta;2005;Labour force participation - Male;67.5;
470;Malta;2005;Unemployment rate - Male;6.3;
470;Malta;2005;Labour force participation - Female;29.4;
470;Malta;2005;Unemployment rate - Female;8.4;
470;Malta;2010;Labour force participation - Total;49.7;
470;Malta;2010;Unemployment rate - Total;6.9;
470;Malta;2010;Labour force participation - Male;66.1;
470;Malta;2010;Unemployment rate - Male;6.7;
470;Malta;2010;Labour force participation - Female;33.7;
470;Malta;2010;Unemployment rate - Female;7.1;
470;Malta;2015;Labour force participation - Total;55.4;
470;Malta;2015;Unemployment rate - Total;5.4;
470;Malta;2015;Labour force participation - Male;67.8;
470;Malta;2015;Unemployment rate - Male;5.4;
470;Malta;2015;Labour force participation - Female;42.8;
470;Malta;2015;Unemployment rate - Female;5.4;
470;Malta;2023;Labour force participation - Total;63.3;
470;Malta;2023;Unemployment rate - Total;2.8;
470;Malta;2023;Labour force participation - Male;71.9;
470;Malta;2023;Unemployment rate - Male;2.9;
470;Malta;2023;Labour force participation - Female;53.8;
470;Malta;2023;Unemployment rate - Female;2.8;
584;Marshall Islands;2006;Labour force participation - Total;44.6;
584;Marshall Islands;2011;Unemployment rate - Total;4.7;
584;Marshall Islands;2011;Unemployment rate - Male;4.9;
584;Marshall Islands;2011;Unemployment rate - Female;4.5;
474;Martinique;2005;Labour force participation - Total;43.6;
474;Martinique;2005;Unemployment rate - Total;18.7;
474;Martinique;2005;Labour force participation - Male;48.5;
474;Martinique;2005;Unemployment rate - Male;16.9;
474;Martinique;2005;Labour force participation - Female;39.6;
474;Martinique;2005;Unemployment rate - Female;20.4;
474;Martinique;2010;Labour force participation - Total;45.9;
474;Martinique;2010;Unemployment rate - Total;21.0;
474;Martinique;2010;Labour force participation - Male;49.1;
474;Martinique;2010;Unemployment rate - Male;19.7;
474;Martinique;2010;Labour force participation - Female;43.3;
474;Martinique;2010;Unemployment rate - Female;22.2;
474;Martinique;2013;Labour force participation - Total;53.1;
474;Martinique;2013;Unemployment rate - Total;22.8;
474;Martinique;2013;Labour force participation - Male;53.8;
474;Martinique;2013;Unemployment rate - Male;22.8;
474;Martinique;2013;Labour force participation - Female;52.6;
474;Martinique;2013;Unemployment rate - Female;22.8;
478;Mauritania;2005;Labour force participation - Total;45.0;
478;Mauritania;2005;Unemployment rate - Total;9.9;
478;Mauritania;2005;Labour force participation - Male;62.8;
478;Mauritania;2005;Unemployment rate - Male;8.7;
478;Mauritania;2005;Labour force participation - Female;27.9;
478;Mauritania;2005;Unemployment rate - Female;12.4;
478;Mauritania;2010;Labour force participation - Total;44.0;
478;Mauritania;2010;Unemployment rate - Total;9.9;
478;Mauritania;2010;Labour force participation - Male;61.6;
478;Mauritania;2010;Unemployment rate - Male;8.6;
478;Mauritania;2010;Labour force participation - Female;27.5;
478;Mauritania;2010;Unemployment rate - Female;12.5;
478;Mauritania;2015;Labour force participation - Total;42.1;
478;Mauritania;2015;Unemployment rate - Total;10.2;
478;Mauritania;2015;Labour force participation - Male;59.0;
478;Mauritania;2015;Unemployment rate - Male;9.3;
478;Mauritania;2015;Labour force participation - Female;26.7;
478;Mauritania;2015;Unemployment rate - Female;11.9;
478;Mauritania;2023;Labour force participation - Total;40.8;
478;Mauritania;2023;Unemployment rate - Total;11.2;
478;Mauritania;2023;Labour force participation - Male;56.5;
478;Mauritania;2023;Unemployment rate - Male;10.5;
478;Mauritania;2023;Labour force participation - Female;26.4;
478;Mauritania;2023;Unemployment rate - Female;12.5;
480;Mauritius;2005;Labour force participation - Total;58.7;
480;Mauritius;2005;Unemployment rate - Total;9.5;
480;Mauritius;2005;Labour force participation - Male;76.8;
480;Mauritius;2005;Unemployment rate - Male;5.8;
480;Mauritius;2005;Labour force participation - Female;40.9;
480;Mauritius;2005;Unemployment rate - Female;16.4;
480;Mauritius;2010;Labour force participation - Total;58.6;
480;Mauritius;2010;Unemployment rate - Total;7.7;
480;Mauritius;2010;Labour force participation - Male;74.4;
480;Mauritius;2010;Unemployment rate - Male;4.5;
480;Mauritius;2010;Labour force participation - Female;43.0;
480;Mauritius;2010;Unemployment rate - Female;13.0;
480;Mauritius;2015;Labour force participation - Total;59.7;
480;Mauritius;2015;Unemployment rate - Total;7.4;
480;Mauritius;2015;Labour force participation - Male;73.9;
480;Mauritius;2015;Unemployment rate - Male;5.3;
480;Mauritius;2015;Labour force participation - Female;45.9;
480;Mauritius;2015;Unemployment rate - Female;10.7;
480;Mauritius;2023;Labour force participation - Total;58.3;
480;Mauritius;2023;Unemployment rate - Total;7.1;
480;Mauritius;2023;Labour force participation - Male;71.5;
480;Mauritius;2023;Unemployment rate - Male;5.0;
480;Mauritius;2023;Labour force participation - Female;45.7;
480;Mauritius;2023;Unemployment rate - Female;10.3;
484;Mexico;2005;Labour force participation - Total;60.2;
484;Mexico;2005;Unemployment rate - Total;3.6;
